backbone,top1_accuracy,top5_accuracy,macro_f1,balanced_accuracy,parameters,training_seconds,checkpoint_bytes
ResNet50,92.886345053148,99.31861542654674,92.7494150042241,92.83007695463223,23753024,25583,95326152
DenseNet121,91.76887435268466,98.93704006541292,91.68405321794224,91.71045791896017,7052512,20005,28793883
