configuration,strategy,seed,mean_support_diversity,sklearn_map,delta_sklearn_map,voc_2007_11_point_map,delta_voc07_map,label_accuracy,delta_label_accuracy,micro_f1,delta_micro_f1,macro_f1,delta_macro_f1
kmeans,kmeans,,0.306187953799963,86.79529962138082,0.0,83.58318923186708,0.0,97.05449040347081,0.0,76.95731658850647,0.0,81.11430275222324,0.0
random_seed_0,random,0,0.21276841908693314,86.26650896717207,-0.5287906542087484,83.12732516586102,-0.45586406600605756,96.52716391826948,-0.5273264852013284,71.00932994062765,-5.947986647878821,79.55792482424401,-1.5563779279792271
random_seed_1,random,1,0.2221515417098999,83.5549603367474,-3.2403392846334214,80.89890535406698,-2.684283877800098,96.03235081943893,-1.0221395840318763,66.81961084204265,-10.137705746463823,74.7148420311983,-6.399460721024937
random_seed_2,random,2,0.17528073340654374,82.56697601255233,-4.2283236088284895,80.0735734863177,-3.5096157455493824,96.12582680525497,-0.9286635982158344,67.55721943333617,-9.4000971551703,76.79700909105092,-4.3172936611723145
random_seed_3,random,3,0.28102783039212226,84.24037248054049,-2.5549271408403342,81.73050452163801,-1.8526847102290702,96.2203188343951,-0.834171569075707,68.92230576441104,-8.035010824095437,77.99697370224361,-3.117329049979631
random_seed_4,random,4,0.21084834039211273,85.49072253121217,-1.3045770901686495,82.59173305369518,-0.9914561781719016,96.63994472724316,-0.4145456762276467,73.39287151017781,-3.56444507832866,79.92448736978905,-1.1898153824341904
max_diversity,max_diversity,,0.8897296998475213,56.74155650481525,-30.05374311656557,58.138816501399994,-25.444372730467087,93.35101248717245,-3.703477916298354,44.15429254138932,-32.803024047117155,49.75767242406427,-31.35663032815897
max_similarity,max_similarity,,0.009887439012527467,88.08566150664261,1.2903618852617882,84.66687893019163,1.083689698324548,97.591977321913,0.5374869184421982,81.61080074487896,4.653484156372485,83.09620912193584,1.981906369712604
