configuration,strategy,seed,mean_support_diversity,top1_accuracy,delta_top1,top5_accuracy,delta_top5,macro_f1,delta_macro_f1,balanced_accuracy,delta_balanced_accuracy
kmeans,kmeans,,0.11439034019907315,78.4149169921875,0.0,96.81817626953125,0.0,77.56160258637003,0.0,77.95292074339633,0.0
random_seed_0,random,0,0.11388009811441104,78.00699615478516,-0.40792083740234375,96.39860534667969,-0.4195709228515625,76.99809934271748,-0.5635032436525478,77.48400503843743,-0.4689157049589028
random_seed_1,random,1,0.12192564904689789,78.06526947021484,-0.34964752197265625,96.64335632324219,-0.1748199462890625,76.86963723690909,-0.6919653494609435,77.44451380893975,-0.5084069344565876
random_seed_2,random,2,0.12220202287038168,78.49650573730469,0.0815887451171875,96.39860534667969,-0.4195709228515625,77.52393574633322,-0.03766684003680609,77.95262941733075,-0.0002913260655788008
random_seed_3,random,3,0.12142261117696762,77.94872283935547,-0.46619415283203125,96.56177520751953,-0.25640106201171875,76.81546807652052,-0.7461345098495116,77.43197259292413,-0.5209481504722078
random_seed_4,random,4,0.11741134425004324,78.10023498535156,-0.3146820068359375,96.72493743896484,-0.09323883056640625,77.22464460044272,-0.3369579859273131,77.8505197923711,-0.10240095102523128
max_diversity,max_diversity,,0.39888301560034356,76.46853637695312,-1.946380615234375,95.75757598876953,-1.0606002807617188,75.06501946408761,-2.4965831222824164,75.82039251979178,-2.1325282236045524
max_similarity,max_similarity,,0.014690131445725759,78.75291442871094,0.3379974365234375,96.7599105834961,-0.05826568603515625,78.02560879656258,0.46400621019255084,78.31369378902217,0.3607730456258338
